target,feature,sense,type,zone
404.26954437781984,10795880101,>=,absolute,NA
41.95846584260717,10795880106,>=,absolute,NA
63.89911116787029,10795880109,>=,absolute,NA
175.02913666848252,10795880111,>=,absolute,NA
27.334531626011632,10795880113,>=,absolute,NA
333.2683432403478,10795880116,>=,absolute,NA
16.08964561171098,10795880122,>=,absolute,NA
62.29948625172782,10795880126,>=,absolute,NA
68.2102184631378,10795880127,>=,absolute,NA
65.31098259465392,10795880402,>=,absolute,NA
366.50603995916407,10795880406,>=,absolute,NA
1.6495376987420016,10795880407,>=,absolute,NA
127.32248583247438,10795880409,>=,absolute,NA
928.6920456013994,10795880411,>=,absolute,NA
148.0282518009607,10795880421,>=,absolute,NA
40.89773916900568,10795880608,>=,absolute,NA
8.568128903269798,10795880610,>=,absolute,NA
386.7864512805666,10795880617,>=,absolute,NA
423.3159292868834,10795880619,>=,absolute,NA
589.9647633603483,10795880625,>=,absolute,NA
167.17948867662597,10795880701,>=,absolute,NA
65.37537640684614,10795880702,>=,absolute,NA
364.99680099318624,10795880705,>=,absolute,NA
1673.0384272690258,10795880706,>=,absolute,NA
45.02881254811957,10795880707,>=,absolute,NA
800.7331848575518,10795880711,>=,absolute,NA
51.01303518818006,10795880713,>=,absolute,NA
281.20262724397065,10795880716,>=,absolute,NA
12.294825217928704,10795880718,>=,absolute,NA
1088.911150435731,10795880722,>=,absolute,NA
73.91580499084361,10795880725,>=,absolute,NA
95.91008097586985,10795880726,>=,absolute,NA
202.9351447023542,10795880909,>=,absolute,NA
344.1614877614422,10795880911,>=,absolute,NA
19.070244122792086,10795880913,>=,absolute,NA
315.062604339247,10795880916,>=,absolute,NA
9.177450711542123,10795881105,>=,absolute,NA
74.6996543400943,10795881114,>=,absolute,NA
35.892960481465316,10795881127,>=,absolute,NA
6.404160966813521,11192880101,>=,absolute,NA
41.83098204847618,11192880103,>=,absolute,NA
0,11192880109,>=,absolute,NA
1.554368882106569,11192880111,>=,absolute,NA
9.637126527410716,11192880113,>=,absolute,NA
11.668747011127994,11192880116,>=,absolute,NA
13.345579455469304,11192880124,>=,absolute,NA
0.3186984802162244,11192880126,>=,absolute,NA
0,11192880127,>=,absolute,NA
1.9298722956152456,11192880503,>=,absolute,NA
0,11192880524,>=,absolute,NA
0,11192880701,>=,absolute,NA
50.18886566471282,11192880703,>=,absolute,NA
1.3862852344118946,11192880711,>=,absolute,NA
3.569585064428575,11192880713,>=,absolute,NA
2.5919168779217183,11192880716,>=,absolute,NA
27.572242892444272,11192880724,>=,absolute,NA
0,11192880726,>=,absolute,NA
0,11192880909,>=,absolute,NA
3.5939959578422536,11192880911,>=,absolute,NA
15.060599099474542,11192880912,>=,absolute,NA
0.35026554465293885,11192880913,>=,absolute,NA
0,11192880916,>=,absolute,NA
0,11192881114,>=,absolute,NA
0.04001926751298012,11192881124,>=,absolute,NA
0,11192881127,>=,absolute,NA
7.797009423597528,11192881224,>=,absolute,NA
15.462756700836286,14211990101,>=,absolute,NA
34.488366848147486,14211990103,>=,absolute,NA
4.927383091679479,14211990113,>=,absolute,NA
10.349518203440372,14211990116,>=,absolute,NA
22.821887979450437,14211990124,>=,absolute,NA
0.9294791410800156,14211990126,>=,absolute,NA
0.20825773205842765,14211990127,>=,absolute,NA
5.313346852257736,14211990701,>=,absolute,NA
21.138930257741983,14211990703,>=,absolute,NA
0.0749898636440775,14211990705,>=,absolute,NA
0.7478359983675558,14211990713,>=,absolute,NA
2.1405877981031525,14211990716,>=,absolute,NA
5.3473435339012605,14211990724,>=,absolute,NA
0.6538453640989698,14211990726,>=,absolute,NA
3.7976338164539785,14211990912,>=,absolute,NA
0.03247007857862624,14211990913,>=,absolute,NA
0.10315607524779576,14211991105,>=,absolute,NA
2.6540883284150634,14211991114,>=,absolute,NA
0.02198750390380155,14211991124,>=,absolute,NA
0.1133369533454242,14211991127,>=,absolute,NA
7.903440935521818,14219880101,>=,absolute,NA
14.096559064478178,14219880106,>=,absolute,NA
4.621253984426283,14220020101,>=,absolute,NA
13.286335642760992,14220020103,>=,absolute,NA
5.833448085522606,14220020113,>=,absolute,NA
0.14006042702849603,14220020116,>=,absolute,NA
1.1001980228073085,14220020122,>=,absolute,NA
27.898478103349472,14220020124,>=,absolute,NA
2.153781236205861,14220020126,>=,absolute,NA
6.552522228734428,14220020127,>=,absolute,NA
7.37156309679662,14220020406,>=,absolute,NA
2.4807380415934177,14220020411,>=,absolute,NA
3.652370618439073,14220020503,>=,absolute,NA
12.882770208653978,14220020524,>=,absolute,NA
9.74496513992343,14220020701,>=,absolute,NA
60.41237383955185,14220020703,>=,absolute,NA
13.358206896359732,14220020705,>=,absolute,NA
43.48094326237506,14220020706,>=,absolute,NA
