pu,nuts2id,EU_id
2493,97,456
2494,97,457
2495,97,458
2496,97,459
2497,97,460
2498,97,461
2499,97,462
2500,97,463
2535,216,464
2536,216,465
2537,216,466
2538,216,467
2539,216,468
2540,216,469
2541,216,470
2542,216,471
2543,216,472
2544,216,473
2545,216,474
2546,216,475
2547,216,476
2548,216,477
2549,216,478
2550,216,479
2551,216,480
2552,216,481
2553,216,482
2554,216,483
2555,216,484
2556,216,485
2557,97,486
2558,97,487
2559,97,488
2560,97,489
2561,97,490
2562,97,491
2563,97,492
2564,97,493
2565,97,494
2566,97,495
2567,97,496
2568,97,497
2569,97,498
2570,97,499
2571,97,500
2572,97,501
2573,97,502
2574,97,503
2575,97,504
2576,97,505
2577,97,506
2578,97,507
2579,97,508
2580,97,509
2581,97,510
2582,97,511
2583,97,512
2584,97,513
2585,97,514
2621,216,515
2622,216,516
2623,216,517
2624,216,518
2625,216,519
2626,216,520
2627,216,521
2628,216,522
2629,216,523
2630,216,524
2631,216,525
2632,216,526
2633,216,527
2634,216,528
2635,216,529
2636,216,530
2637,216,531
2638,216,532
2639,216,533
2640,216,534
2641,216,535
2642,216,536
2643,216,537
2644,97,538
2645,97,539
2646,97,540
2647,97,541
2648,97,542
2649,97,543
2650,97,544
2651,97,545
2652,97,546
2653,97,547
2654,97,548
2655,97,549
2656,97,550
2657,97,551
2658,97,552
2659,97,553
2660,97,554
2661,97,555
2662,97,556
2663,97,557
2664,97,558
2665,97,559
2666,97,560
2667,97,561
2668,97,562
2669,97,563
2670,97,564
2671,97,565
2717,216,566
2718,216,567
2719,216,568
2720,216,569
2721,216,570
2722,216,571
2723,216,572
2724,216,573
2725,216,574
2726,216,575
2727,216,576
2728,216,577
2729,216,578
2730,216,579
2731,216,580
2732,216,581
2733,216,582
2734,216,583
2735,216,584
2736,216,585
2737,216,586
2738,216,587
2739,216,588
2740,97,589
2741,97,590
2742,97,591
2743,97,592
2744,97,593
2745,97,594
2746,97,595
2747,97,596
2748,97,597
2749,97,598
2750,97,599
2751,97,600
2752,97,601
2753,97,602
2754,97,603
2755,97,604
2756,97,605
2757,97,606
2758,97,607
2759,97,608
2760,97,609
2761,97,610
2762,97,611
2763,97,612
2764,97,613
2765,97,614
2766,97,615
2825,216,616
2826,216,617
2827,216,618
