pu,diff
1,0.017143211755349164
2,0.041116050677374005
3,0.04241973161697388
4,0.038914961979727436
5,0.05237041407963272
6,0.04484990437049419
7,0.034969624641234986
8,0.011920287557586562
9,0.025889843105305177
10,0.019549157926671334
11,0.041686069702246975
12,0.04198346967225297
13,0.04565071671822807
14,0.04869149113073956
15,0.042158349649980664
16,0.02579458663240075
17,0.019502695417031646
18,0.018559698304670746
19,0.04081323444552254
20,0.04847599635832012
21,0.03395411069504917
22,0.03237960929982364
23,0.03417499400238866
24,0.0313346185721457
25,0.042688373010605574
26,0.0347534054890275
27,0.02676535304635763
28,0.024428383447229862
29,0.013335136522073299
30,0.00907967984676361
31,0.04263691045343876
32,0.040846989722922444
33,0.03434283608610311
34,0.025844670773949474
35,0.030231631484781807
36,0.03129846113733947
37,0.029722475912421942
38,0.023706269450485706
39,0.018272743203545883
40,0.015039921831981662
41,0.011593861521218107
42,0.009898502379655838
43,0.02599961555097252
44,0.026647483442502673
45,0.03988803033620192
46,0.04222032501137307
47,0.018095826087418443
48,0.03530527390081806
49,0.03371606977202646
50,0.01877503095645172
51,0.01858935019778496
52,0.019048021175706698
53,0.011348837113473564
54,0.011022058257367462
55,0.015280755680578295
56,0.03672454725892749
57,0.030367938335985056
58,0.03323835288010302
59,0.04489003244588097
60,0.035173304728232324
61,0.01866192522821164
62,0.01278248412765759
63,0.004960941208992153
64,0.008329709687280307
65,0.013515997707145289
66,0.011266280664131045
67,0.008928990690037608
68,0.02001172390939676
69,0.04091902634929634
70,0.02560756867279179
71,0.036873124015983194
72,0.03824797117033718
73,0.014682972978334874
74,0.005103450239403173
75,0.00753381522372365
76,0.008687599678523839
77,0.011451936210505664
78,0.008807363221421838
79,0.010370160220190883
80,0.01660355806395719
81,0.031175723823253065
82,0.03657970088534057
83,0.026178023195825517
84,0.024984346877317876
85,0.007556453114375472
86,0.005506933433935046
87,0.00924284546636045
88,0.01063176366198526
89,0.009853118448518217
90,0.018278432006167855
91,0.028767286048773877
92,0.04063501869677566
93,0.019754819571971893
94,0.009960218409338806
95,0.005142229760782158
96,0.0072504856798332185
97,0.009792730110348202
98,0.011390485451556742
99,0.010330326505936682
100,0.025292985723353922
101,0.0361533221943362
102,0.039081367095604946
103,0.03191111306659877
104,0.014331199112348258
105,0.009567858884111047
106,0.008796466655439872
107,0.009876650067781156
108,0.00558525666124432
109,0.010966968057361637
110,0.018115504179149866
111,0.01638047741060411
112,0.028801901265978813
113,0.029425472137518227
114,0.017598459613509476
115,0.010372792108682916
116,0.010282558505423367
117,0.01101940730586648
118,0.012519419105956331
119,0.014850126346573234
120,0.014776194120503572
121,0.013586089946329594
122,0.011816637881565839
123,0.008646786212921143
124,0.008713096898770423
125,0.01048924093146697
126,0.007441107722115703
