speciesname,taxon_id
Oxygastra_curtisii,1430236
Proteus_anguinus,2432042
Rana_pyrenaica,2426793
Ranunculus_lapponicus,7276583
Saxifraga_hirculus,3032811
Tozzia_carpathica,3724818
Trisetum_subalpestre,5946724
Triturus_carnifex,2431887
Triturus_macedonicus,2431888
Vertigo_genesii,4567211
Castor_fiber,4409131
Chilostoma_banaticum,4563479
Cordulegaster_heros,1421199
Emys_orbicularis,8909809
Graphoderus_bilineatus,4470279
Anisus_vorticulus,4562143
Margaritifera_margaritifera,7911174
Myosotis_rehsteineri,7930390
Ophiogomphus_cecilia,1426058
Astacus_astacus,2226998
Riccia_breidleri,7465957
Sadleriana_pannonica,4560905
Austropotamobius_pallipes,4312658
Austropotamobius_torrentium,4417555
Unio_crassus,4559558
Unio_elongatulus,4559608
Cynodontium_suecicum,2675182
Dicranum_viride,2675421
Distichophyllum_carinatum,5280094
Draba_cacuminum,3050152
Draba_dorneri,3050158
Androsace_cylindrica,7290761
Androsace_mathildae,4005922
Androsace_pyrenaica,4005170
Linaria_tonzigii,7790128
Moehringia_villosa,3810093
Arenaria_humifusa,7529713
Artemisia_genipi,7511951
Petrocoptis_montsicciana,7267092
Petrocoptis_pseudoviscosa,3808387
Physoplexis_comosa,3161912
Primula_carniolica,5640361
Primula_glaucescens,5640340
Asplenium_adulterinum,2650652
Saxifraga_florulenta,3754238
Saxifraga_presolanensis,3752513
Saxifraga_tombeanensis,3754891
Trifolium_saxatile,5359144
Viola_delphinantha,5664585
Braya_linearis,5373826
Campanula_morettiana,5410431
Campanula_zoysii,3168046
Cerastium_dinaricum,7267578
Cucujus_cinnaberinus,4451511
Cyclamen_fatrense,3169315
Dioszeghyana_schmidtii,5114054
Graellsia_isabellae,4526928
Limoniscus_violaceus,4428477
Lucanus_cervus,5743122
Martes_martes,5218878
Odontopodisma_rubripes,1710221
Orthotrichum_rogeri,2672681
Pholidoptera_transsylvanica,1695277
Phryganophilus_ruficollis,4453682
Rhysodes_sulcatus,5007652
Rosalia_alpina,7569075
Stephanopachys_linearis,4427599
Stephanopachys_substriatus,4427602
Tayloria_rudolphiana,5281501
Xestia_borealis,7727533
Buprestis_splendens,5744642
Buxbaumia_viridis,2682851
Calamagrostis_chalybaea,4124964
Calypso_bulbosa,5323572
Carabus_hampei,4470822
Cerambyx_cerdo,5820507
Elona_quimperiana,5782993
Scrophularia_herminii,3737600
Sisymbrium_supinum,5375515
Chelonia_mydas,2442225
Delphinapterus_leucas,5220003
Delphinus_delphis,8324617
Dermochelys_coriacea,9789983
Grampus_griseus,5220027
Halichoerus_grypus,2434806
Lagenorhynchus_acutus,5220073
Lithophaga_lithophaga,4374632
Lithothamnium_coralloides,2654944
Megaptera_novaeangliae,5220086
Orcinus_orca,2440483
Phoca_vitulina,2434793
Phocoena_phocoena,2440669
Phymatholithon_calcareum,2654944
Scyllarides_latus,2221735
Tursiops_truncatus,2440447
Caretta_caretta,8894817
Eryngium_viviparum,3641026
Festuca_brigantina,4127331
Festuca_elegans,4124641
Festuca_summilusitana,4113010
Gentianella_anglica,8116170
Iris_boissieri,5298488
Jurinea_cyanoides,5392633
Lacerta_bilineata,6159243
Lacerta_schreiberi,6159196
Armeria_sampaioi,5668182
Narcissus_cyclamineus,2858654
Narcissus_triandrus,2858501
Santolina_semidentata,3125941
Scilla_beirana,2767362
Aeshna_viridis,1425187
Thesium_ebracteatum,7774938
Biscutella_neustriaca,3041767
Veronica_micrantha,7997882
Vipera_seoanei,5960884
Bruchia_vogesiaca,5281823
Centaurium_somedanum,5596431
Chalcides_bedriagai,8974077
Chioglossa_lusitanica,2431938
