pu,nuts2id,BR_ID,EU_id
2316,97,6,354
2317,97,6,355
2318,97,6,356
2319,97,6,357
2320,97,6,358
2321,97,6,359
2322,97,6,360
2323,97,6,361
2324,97,6,362
2325,97,6,363
2326,97,6,364
2327,97,6,365
2328,97,6,366
2329,97,6,367
2330,97,6,368
2331,97,6,369
2332,97,6,370
2333,97,6,371
2334,97,6,372
2377,216,1,373
2378,216,1,374
2379,216,1,375
2380,216,1,376
2381,216,1,377
2382,216,1,378
2383,216,1,379
2384,216,1,380
2385,216,1,381
2386,216,1,382
2387,216,1,383
2388,216,1,384
2389,97,1,385
2390,97,1,386
2391,97,1,387
2392,97,6,388
2393,97,6,389
2394,97,6,390
2395,97,6,391
2396,97,6,392
2397,97,6,393
2398,97,6,394
2399,97,6,395
2400,97,6,396
2401,97,6,397
2402,97,6,398
2403,97,6,399
2404,97,6,400
2405,97,6,401
2406,97,6,402
2407,97,6,403
2408,97,6,404
2409,97,6,405
2410,97,6,406
2411,97,6,407
2412,97,6,408
2413,97,6,409
2414,97,6,410
2415,97,6,411
2416,97,6,412
2417,97,6,413
2418,97,6,414
2419,97,6,415
2450,216,1,416
2451,216,1,417
2452,216,1,418
2453,216,1,419
2454,216,1,420
2458,216,1,421
2459,216,1,422
2460,216,1,423
2461,216,1,424
2462,216,1,425
2463,216,1,426
2464,216,1,427
2465,216,1,428
2466,216,1,429
2467,216,1,430
2468,216,1,431
2469,216,6,432
2470,216,6,433
2471,97,6,434
2472,97,6,435
2473,97,6,436
2474,97,6,437
2475,97,6,438
2476,97,6,439
2477,97,6,440
2478,97,6,441
2479,97,6,442
2480,97,6,443
2481,97,6,444
2482,97,6,445
2483,97,6,446
2484,97,6,447
2485,97,6,448
2486,97,6,449
2487,97,6,450
2488,97,6,451
2489,97,6,452
2490,97,6,453
2491,97,6,454
2492,97,6,455
2493,97,6,456
2494,97,6,457
2495,97,6,458
2496,97,6,459
2497,97,6,460
2498,97,6,461
2499,97,6,462
2500,97,6,463
2535,216,1,464
2536,216,1,465
2537,216,1,466
2538,216,1,467
2539,216,1,468
2540,216,1,469
2541,216,1,470
2542,216,1,471
2543,216,1,472
2544,216,1,473
2545,216,1,474
2546,216,1,475
2547,216,1,476
2548,216,1,477
2549,216,1,478
2550,216,1,479
2551,216,1,480
2552,216,1,481
2553,216,1,482
2554,216,6,483
2555,216,6,484
2556,216,6,485
2557,97,6,486
2558,97,6,487
2559,97,6,488
2560,97,6,489
2561,97,6,490
2562,97,6,491
2563,97,6,492
2564,97,6,493
