name,value
Croatia.LU04059.GRSLND.HiSol_CO2,7.136
Croatia.LU04059.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04059.CrpLnd.Area,0.198
Croatia.LU04059.CrpLnd.HiSol_CO2,34.307
Croatia.LU04059.CrpLnd.HiSol_N2O,3.423
,
Croatia.LU04060.GRSLND.Area,0.025
Croatia.LU04060.GRSLND.HiSol_CO2,7.136
Croatia.LU04060.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04060.CrpLnd.Area,0.497
Croatia.LU04060.CrpLnd.HiSol_CO2,34.307
Croatia.LU04060.CrpLnd.HiSol_N2O,3.423
,
Croatia.LU04061.GRSLND.Area,0.023
Croatia.LU04061.GRSLND.HiSol_CO2,7.136
Croatia.LU04061.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04061.CrpLnd.Area,0.448
Croatia.LU04061.CrpLnd.HiSol_CO2,34.307
Croatia.LU04061.CrpLnd.HiSol_N2O,3.423
,
Croatia.LU04239.GRSLND.Area,0.001
Croatia.LU04239.GRSLND.HiSol_CO2,7.136
Croatia.LU04239.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04239.CrpLnd.Area,0.011
Croatia.LU04239.CrpLnd.HiSol_CO2,34.307
Croatia.LU04239.CrpLnd.HiSol_N2O,3.423
,
Croatia.LU04240.GRSLND.Area,0.004
Croatia.LU04240.GRSLND.HiSol_CO2,7.136
Croatia.LU04240.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04240.CrpLnd.Area,0.072
Croatia.LU04240.CrpLnd.HiSol_CO2,34.307
Croatia.LU04240.CrpLnd.HiSol_N2O,3.423
,
Croatia.LU04241.GRSLND.Area,0
Croatia.LU04241.GRSLND.HiSol_CO2,7.136
Croatia.LU04241.GRSLND.HiSol_N2O,3.426
,
Croatia.LU04241.CrpLnd.Area,0.002
Croatia.LU04241.CrpLnd.HiSol_CO2,34.307
Croatia.LU04241.CrpLnd.HiSol_N2O,3.423
,
Denmark.DK00.GRSLND.Area,47.307
Denmark.DK00.GRSLND.HiSol_CO2,0.917
Denmark.DK00.GRSLND.HiSol_N2O,3.432
,
Denmark.DK00.CrpLnd.Area,43.528
