country_TF,scenario,future,area_restored,percent_restored,deintensification,nature,rewetting
EVEN,Baseline,f455.csv,5611.451932785409,0.13671129788007136,5214.695131111446,43.76120167396372,352.9955999999991
EVEN,Baseline,ref.csv,5726.045553920852,0.13950313194759179,5328.428238934188,44.621714986665516,352.995599999999
EVEN,HN,f455.csv,6198.356459999956,0.15100999999999892,4963.792624760954,881.5682352390032,352.9955999999994
EVEN,HN,ref.csv,6198.356459999958,0.15100999999999898,4958.173409299236,887.1874507007234,352.99559999999946
FLEX,Baseline,f455.csv,5819.326641716231,0.14177573068548047,5422.705607936977,43.625433779255545,352.99559999999923
FLEX,Baseline,ref.csv,6154.346777642656,0.14993779607373814,5757.171634946766,44.1795426958903,352.99559999999923
FLEX,HN,f455.csv,6198.356460000027,0.15101000000000067,4937.423287198868,907.9375728011601,352.99559999999946
FLEX,HN,ref.csv,6198.356460000019,0.15101000000000048,4937.283765730018,908.0770942700022,352.99559999999934
UNCONSTRAINED,Baseline,f455.csv,5849.637058972584,0.14251418065030902,5453.005915845491,43.635543127094294,352.99559999999923
UNCONSTRAINED,Baseline,ref.csv,6190.769215861411,0.15082515265461705,5793.691142735021,44.08247312639072,352.9955999999992
UNCONSTRAINED,HN,f455.csv,6198.356460000039,0.15101000000000095,4936.145966697138,909.2148933029023,352.99559999999946
UNCONSTRAINED,HN,ref.csv,6198.3564600000445,0.1510100000000011,4939.686104156228,905.6747558438175,352.9955999999995
