NUTS2,name,area_2020_f455,area_2020_ref,area_2030_ref,area_2030_f455,f455_change,ref_change,area,perc_f455_change,perc_ref_change,diff_2020
FI15,WoodlandForest_multi,3642.65,4287.7135,4287.6825,510.41103125,-3132.23896875,-0.03099999999994907,13561.966872745596,-0.2309575740849663,-2.2858041382070692e-6,645.0634999999997
SE07,WoodlandForest_multi,2686.02575,3321.511,3364.1775,173.253453125,-2512.772296875,42.666499999999814,7712.316793918557,-0.3258128995500305,0.005532254592244435,635.4852500000002
AT22,WoodlandForest_multi,66.81628125,301.8344375,271.9744375,0,-66.81628125,-29.859999999999957,1639.980177037611,-0.04074212736564538,-0.018207537150807376,235.01815624999998
SE08,WoodlandForest_multi,3098.83675,3324.805,3405.89625,1549.227625,-1549.609125,81.09124999999995,16515.15086408178,-0.09382954704762583,0.00491011257889036,225.9682499999999
AT21,WoodlandForest_prod,130.2976328125,328.20803125,331.3895625,391.270875,260.9732421875,3.1815312500000346,953.8087941818467,0.2736116963687217,0.0033356069575024966,197.91039843749996
SE06,WoodlandForest_multi,630.7641875,828.2648125,826.888875,0,-630.7641875,-1.3759374999999636,6944.1544025196645,-0.09083383676940265,-1.981432756594106e-4,197.5006249999999
FI13,WoodlandForest_multi,861.708875,1041.920125,1580.759125,141.8710625,-719.8378125,538.8389999999999,8020.588746250401,-0.08974874978305326,0.06718197591815257,180.21125000000006
LV00,WoodlandForest_multi,1213.863875,1379.878,1192.039875,705.916,-507.94787499999995,-187.838125,6515.762205284293,-0.07795678525346636,-0.02882826583936151,166.01412499999992
FI14,WoodlandForest_multi,177.144640625,280.5236875,265.98559375,0,-177.144640625,-14.538093749999973,4566.827364767463,-0.038789432241658636,-0.0031834121565793485,103.379046875
ES42,Cropland_med,1384.2194528548412,1484.7650184386662,1759.9272939702632,1629.2180587112935,244.9986058564523,275.16227553159706,8421.895111701288,0.029090674083087777,0.032672251539833316,100.54556558382501
BG05,Cropland_med,407.53338473425464,495.99113960254863,373.08924181739565,233.05478046261766,-174.47860427163698,-122.90189778515298,2793.3295197068187,-0.062462592773497715,-0.04399835283237635,88.45775486829399
RO01,WoodlandForest_multi,629.1231875,698.1365625,714.0966875,244.493234375,-384.629953125,15.960125000000062,3754.5134507013636,-0.10244468642219114,0.0042509169855334044,69.013375
BG03,WoodlandForest_multi,200.564390625,269.52434375,214.672375,15.2623251953125,-185.3020654296875,-54.851968750000026,2022.9883467784261,-0.09159818726824494,-0.02711432759232194,68.95995312500003
