PUID,WoodlandForest,HeathlandShrub,Grassland,Pasture,SparseVeg,Cropland,Urban,Wetlands,RiversLakes,MarineTransitional,area,Status
27762,2324.192626953125,0,0,393.430419921875,0,29.43536376953125,10,0,0,0,1e+08,N2K
27763,3228.034912109375,0,0,908.5164794921875,0,29.56463623046875,19,0,0,0,1e+08,N2K
27764,274.4184875488281,0,0,135.57652282714844,0,4.526549816131592,5,0,25,0,1e+08,N2K
27765,816.8695068359375,0,0,66.282318115234375,0,26,6,0,25,0,1e+08,N2K
27766,1642.5672607421875,0,0,6.1411590576171875,0,144.38539123535156,0.5265496373176575,0,23.842056274414062,0,1e+08,N2K
27767,2664.374755859375,0,0,41,0,515.32781982421875,5,0,29.534082412719727,0,1e+08,N2K
27768,3842.650146484375,0,0,80,0,192.33541870117188,26,0,26,0,1e+08,N2K
27769,4061.884521484375,0,0,130.68585205078125,0,128.8588409423828,16,0,22,0,1e+08,N2K
27770,2113.936767578125,0,0,21.106199264526367,0,40.19425964355469,1,0,1,0,1e+08,N2K
27771,356.1504211425781,0,0,56.47344970703125,0,24,0,0,0,0,1e+08,N2K
27772,511.31414794921875,0,0,7.473450183868408,0,10,4,0,0,0,1e+08,N2K
27773,44,0,0,12,0,2,0,0,0,0,1e+08,N2K
27774,646.12939453125,0,0,27.858840942382812,0,3,0,0,0,0,1e+08,N2K
27775,420.46527099609375,0,0,33.72080993652344,0,48,4,0,0,0,1e+08,N2K
27776,514.98944091796875,0,0,31,0,104.52655029296875,9,0,0,0,1e+08,N2K
27777,4,0,0,213.10377502441406,0,310.6121826171875,10.858840942382812,0,0,0,1e+08,N2K
27778,378.38092041015625,0,0,415.2735595703125,0,131.3878173828125,18.720808029174805,0,0,0,1e+08,N2K
27779,30.716402053833008,0,0,475.3040771484375,0,24.893800735473633,3,0,0,0,1e+08,N2K
27780,0,0,0,17.946901321411133,0,5.473450183868408,2,0,0,0,1e+08,N2K
27781,12.526549339294434,0,0,156.3717041015625,0,4,2,0,0,0,1e+08,N2K
27782,4598.6572265625,0,0,77.9619140625,0,33.8707275390625,4,0,0,0,1e+08,N2K
27783,4591.03369140625,0,0,679.60528564453125,0,57.1292724609375,6,0,0,0,1e+08,N2K
27784,556.01251220703125,0,0,199.4328155517578,0,1,1,0,0,0,1e+08,N2K
27785,157.15304565429688,0,0,36.52655029296875,0,1,0,0,0,0,1e+08,N2K
27786,1133.0164794921875,0,0,279.78314208984375,0,10.858840942382812,0,0,0,0,1e+08,N2K
27787,1554.178466796875,0,0,51.893802642822266,0,22.194257736206055,0,0,0,0,1e+08,N2K
27788,743.921875,0,0,20,0,62,1,0,0,0,1e+08,N2K
27789,2250.16015625,0,0,55.632747650146484,0,247.68585205078125,0,0,0,0,1e+08,N2K
27790,1579.47705078125,0,0,40.57965087890625,0,56.85884094238281,0,0,0,0,1e+08,N2K
27791,279.47344970703125,0,0,50.85884094238281,0,62.420352935791016,0,0,0,0,1e+08,N2K
27792,75,0,0,288.08807373046875,0,70.61460876464844,12,0,0,0,1e+08,N2K
27793,226,0,0,265.78759765625,0,77.47344970703125,46.52655029296875,1.946900725364685,31.367252349853516,0,1e+08,N2K
27794,44.244232177734375,0,0,62.47344970703125,0,36.48533630371094,1,0,0,0,1e+08,N2K
27795,48.229217529296875,0,0,385.52655029296875,0,42.98811340332031,4,0,0,0,1e+08,N2K
27796,89.29420471191406,0,0,18.52655029296875,0,43,2,0,0,0,1e+08,N2K
27797,156.75889587402344,0,0,0,0,0,0,0,0,0,1e+08,N2K
27798,2.5265495777130127,0,0,28.053098678588867,0,1,0,0,0,0,1e+08,N2K
27799,9,0,0,71,0,5,0,0,0,0,1e+08,N2K
27800,34,0,0,3,0,1,4,0,0,0,1e+08,N2K
27801,397.97943115234375,0,0,135.01809692382812,0,33.57652282714844,0,0,0,0,1e+08,N2K
27802,309.86126708984375,0,0,22.189851760864258,0,7.843827724456787,0,0,0,0,1e+08,N2K
27803,1053.9468994140625,0,0,59.52655029296875,0,50.47344970703125,0,0,0,0,1e+08,N2K
27804,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27805,85,0,0,0,0,0,4,0,0,0,1e+08,N2K
27806,317,0,0,12,0,1,9,0,0,0,1e+08,N2K
27807,1495.865234375,0,0,257.0318298339844,0,653.87139892578125,52,0,0,0,1e+08,N2K
27808,5159.00048828125,0,956.927001953125,2350.732177734375,0,948.02239990234375,56,0,0,0,1e+08,N2K
27809,5244.423828125,0,2415.860595703125,1621.5880126953125,0,679.9744873046875,38.153045654296875,0,0,0,1e+08,N2K
27810,1084.5733642578125,0,0,1207.8294677734375,0,1627.3927001953125,55.846954345703125,0,0,0,1e+08,N2K
27811,2,0,0,1,0,0,0,0,0,0,1e+08,N2K
27812,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27813,152.7533416748047,0,0,0,0,0.858841061592102,0,0,0,0,1e+08,N2K
27814,469.6759033203125,0,0,0,0,21.141159057617188,1,0,0,0,1e+08,N2K
27815,139.8588409423828,0,0,0,0,14,1,0,0,0,1e+08,N2K
27816,0.14115892350673676,0,0,0,0,2,0,0,0,0,1e+08,N2K
27817,35,0,0,0,0,9,0,0,2,0,1e+08,N2K
27818,16,0,0,0,0,3,11.526549339294434,0,7,0,1e+08,N2K
27819,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27820,203.3079071044922,0,0,0,0,102.32916259765625,0,0,3,0,1e+08,N2K
27821,329.43536376953125,0,0,0,0,40.56463623046875,0,0,5,0,1e+08,N2K
27822,60.411590576171875,0,0,0,0,9,0,0,0,0,1e+08,N2K
27823,766.318603515625,0,0,44,0,381.52655029296875,5,0,17,0,1e+08,N2K
27824,1453.3134765625,0,0,70.717681884765625,0,507.93438720703125,21,0,178,0,1e+08,N2K
27825,545.5758056640625,0,0,29.282318115234375,0,137.69390869140625,0.47345036268234253,0,3,0,1e+08,N2K
27826,26,0,0,0,0,0,0,0,0,0,1e+08,N2K
27827,109,0,0,44,0,48,3,73,100,0,1e+08,N2K
27828,25,0,0,5.8588409423828125,0,121.66712951660156,0,0,0,0,1e+08,N2K
27829,255.9468994140625,0,0,88.24736022949219,0,1216.5054931640625,0.5265496373176575,0,13,0,1e+08,N2K
27830,17.420351028442383,0,0,251.9424591064453,0,359.9075012207031,9,0,0,0,1e+08,N2K
27831,1.5265495777130127,0,0,0,0,43.19425964355469,7,0,0,0,1e+08,N2K
27832,100,0,0,0,0,4,6,0,0,0,1e+08,N2K
27833,2,0,0,0,0,12,7,0,0,0,1e+08,N2K
27834,741.26995849609375,0,0,958.5909423828125,0,1046.7139892578125,199.87948608398438,0,0,0,1e+08,N2K
27835,2092.28564453125,0,34,1875.11474609375,0,787.4984130859375,114.06741333007812,0,0,0,1e+08,N2K
27836,1576.8162841796875,0,0,800.8076171875,0,192.68141174316406,92.84070587158203,0,0,0,1e+08,N2K
27837,2134.0087890625,0,0.946900486946106,108,0,475,40,0,0,0,1e+08,N2K
27838,8451.5341796875,35,366.6282958984375,642.3905029296875,0,357.392333984375,37.541561126708984,0,0,0,1e+08,N2K
27839,397.811279296875,0,0,760.135986328125,0,377.3465881347656,62.56463623046875,0,0,0,1e+08,N2K
27840,71,0,0,0,0,2,0,0,0,0,1e+08,N2K
27841,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27842,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27843,93.893798828125,0,0,0,0,5,1,0,0,0,1e+08,N2K
27844,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27845,0,0,0,0,0,0,5.435364246368408,0,0,0,1e+08,N2K
27846,207.2092742919922,0,0,10,0,563.6446533203125,109.47657775878906,0,99.57965087890625,0,1e+08,N2K
27847,196.52967834472656,0,0,79,0,382.20050048828125,51.14115905761719,0,81.68584442138672,0,1e+08,N2K
27848,0,0,0,0,0,41.45222091674805,2,0,0,0,1e+08,N2K
27849,378.8445739746094,0,0,149.57965087890625,0,3088.488037109375,931.9981689453125,128.8588409423828,979.91082763671875,0,1e+08,N2K
27850,2413.580322265625,0,0,458,0,2938.817138671875,913.56280517578125,59.14115905761719,2643.531982421875,0,1e+08,N2K
27851,0,0,0,3,0,81.052398681640625,47.28416442871094,0,36.97309875488281,0,1e+08,N2K
27852,431.4779052734375,0,0,0,0,190.68141174316406,6,0,3.8407020568847656,0,1e+08,N2K
27853,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27854,2.89380145072937,0,0,0,0,4.473450183868408,3,0,11.3672513961792,0,1e+08,N2K
27855,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27856,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27857,0,0,0,0,0,0,0,0,0,0,1e+08,N2K
27858,37.579647064208984,0,0,0,0,14,0,0,0,0,1e+08,N2K
27859,1214.0531005859375,0,0,0,0,973,20,0,0,0,1e+08,N2K
27860,619.2791748046875,0,0,0,0,769.3853759765625,0,0,0,0,1e+08,N2K
27861,482.741455078125,0,0,0,0,79,0,0,0,0,1e+08,N2K
27862,1193.036865234375,0,0,7,0,258.0531005859375,4,0,0,0,1e+08,N2K
27863,24,0,0,0,0,107.14115905761719,0,0,3,0,1e+08,N2K
27864,136.29420471191406,0,0,0,0,40.85884094238281,0,0,0,0,1e+08,N2K
