country,name,value
AT,Cropland_high,7.381863785217842
AT,Cropland_low,55.04479723704035
AT,Cropland_med,92.19953482135904
AT,Pasture_high,34.793955355320115
AT,Pasture_low,54.10282791204698
AT,WoodlandForest_multi,11.054474230871891
AT,WoodlandForest_prod,367.04715287158626
BE,Cropland_high,44.70752257090626
BE,Cropland_low,18.046841891335642
BE,Cropland_med,21.53700360867865
BE,Pasture_high,36.07008219449308
BE,Pasture_low,1.8062010726327358
BE,WoodlandForest_multi,6.197418598915893
BE,WoodlandForest_prod,59.368150116823756
BG,Cropland_high,39.437879844408776
BG,Cropland_low,233.44436837796937
BG,Cropland_med,137.9015290444694
BG,Pasture_high,25.54087439797221
BG,Pasture_low,62.338686978692586
BG,WoodlandForest_multi,64.96629100379528
BG,WoodlandForest_prod,182.20631806334447
CY,Cropland_high,0
CY,Cropland_low,0
CY,Cropland_med,0
CY,Pasture_high,0
CY,Pasture_low,0
CY,WoodlandForest_multi,4.889019956560984
CY,WoodlandForest_prod,0
CZ,Cropland_high,132.00900662927125
CZ,Cropland_low,107.01693863076822
CZ,Cropland_med,54.69215520434809
CZ,Pasture_high,18.23865699553137
CZ,Pasture_low,29.28102205459855
CZ,WoodlandForest_multi,81.37463217926347
CZ,WoodlandForest_prod,177.40937754622573
DE,Cropland_high,399.23363371993935
DE,Cropland_low,345.0941665858435
DE,Cropland_med,475.1722892488671
DE,Pasture_high,163.68638638208932
DE,Pasture_low,62.95854081920354
DE,WoodlandForest_multi,121.78574617333092
DE,WoodlandForest_prod,960.2883213725238
DK,Cropland_high,48.98571220613488
DK,Cropland_low,16.269200747785558
DK,Cropland_med,69.07139543764325
DK,Pasture_high,0.12274455985940996
DK,Pasture_low,0.040574704417493494
DK,WoodlandForest_multi,18.584952185480457
DK,WoodlandForest_prod,32.601955471783505
EE,Cropland_high,0
EE,Cropland_low,40.99814735049531
EE,Cropland_med,34.63125636323203
EE,Pasture_high,0.19602255946417954
EE,Pasture_low,20.324135336274573
EE,WoodlandForest_multi,12.575704359629441
EE,WoodlandForest_prod,196.02213156409442
ES,Cropland_high,181.4772577038299
ES,Cropland_low,594.0271334929154
ES,Cropland_med,726.5808040835452
ES,Pasture_high,32.132946610580426
ES,Pasture_low,480.1171350748984
ES,WoodlandForest_multi,1045.700887756633
ES,WoodlandForest_prod,682.6278863287719
FI,Cropland_high,14.87649155029381
FI,Cropland_low,122.81854341066236
FI,Cropland_med,61.61976057541205
FI,Pasture_high,3.669848091560267
FI,Pasture_low,1.1674980578475294
FI,WoodlandForest_multi,786.2030030571642
FI,WoodlandForest_prod,1292.6811778684219
FR,Cropland_high,594.717338564786
FR,Cropland_low,488.98115571143194
FR,Cropland_med,805.2090571960659
FR,Pasture_high,272.06023896520884
FR,Pasture_low,60.876329987317376
FR,WoodlandForest_multi,263.9171455263085
FR,WoodlandForest_prod,1316.5014523468794
GR,Cropland_high,15.649326186659627
GR,Cropland_low,95.18794362832689
GR,Cropland_med,162.08432833215355
GR,Pasture_high,32.54541792459768
GR,Pasture_low,83.9603391908139
GR,WoodlandForest_multi,84.73027537180516
GR,WoodlandForest_prod,259.85794928018913
HR,Cropland_high,0
HR,Cropland_low,0
HR,Cropland_med,0
HR,Pasture_high,0
HR,Pasture_low,0
HR,WoodlandForest_multi,0
HR,WoodlandForest_prod,162.7044143283747
HU,Cropland_high,54.62706450918285
HU,Cropland_low,143.00473604207002
HU,Cropland_med,298.08414420994666
HU,Pasture_high,17.469043648458385
HU,Pasture_low,41.080451702576596
HU,WoodlandForest_multi,65.20631954567328
HU,WoodlandForest_prod,147.61973952317098
IE,Cropland_high,27.25926713812022
IE,Cropland_low,7.047615299807964
IE,Cropland_med,17.357187366677813
IE,Pasture_high,138.4128544797366
IE,Pasture_low,2.065494994568814
IE,WoodlandForest_multi,0
IE,WoodlandForest_prod,68.81418103841264
IT,Cropland_high,90.3797712805907
IT,Cropland_low,343.8150004511834
IT,Cropland_med,555.138208530308
IT,Pasture_high,61.062104749353814
IT,Pasture_low,165.9299126550721
IT,WoodlandForest_multi,460.7355365511342
IT,WoodlandForest_prod,419.92724648732934
LT,Cropland_high,1.077484377648857
LT,Cropland_low,106.1122389989476
LT,Cropland_med,106.38857624495735
LT,Pasture_high,4.244238769189503
LT,Pasture_low,33.489693565584375
LT,WoodlandForest_multi,35.46600603069479
LT,WoodlandForest_prod,168.86351739096017
LU,Cropland_high,3.286603712949606
LU,Cropland_low,4.244037499118166
LU,Cropland_med,1.8383083121834303
LU,Pasture_high,0.589054973778055
LU,Pasture_low,0.02398387410765057
LU,WoodlandForest_multi,0
LU,WoodlandForest_prod,12.036348897413166
LV,Cropland_high,0.6375098402993958
LV,Cropland_low,111.94169958297609
LV,Cropland_med,26.085506749680903
LV,Pasture_high,0.9343651880748479
LV,Pasture_low,5.913029954852733
LV,WoodlandForest_multi,95.30329988191244
LV,WoodlandForest_prod,222.9634218085321
MT,Cropland_high,0
MT,Cropland_low,0
MT,Cropland_med,0
MT,Pasture_high,0
MT,Pasture_low,0
MT,WoodlandForest_multi,0
MT,WoodlandForest_prod,0
NL,Cropland_high,50.45971959300272
NL,Cropland_low,10.088302332102627
NL,Cropland_med,11.779259259737824
NL,Pasture_high,63.88484867335853
NL,Pasture_low,1.852791180118448
NL,WoodlandForest_multi,6.5193140461705665
NL,WoodlandForest_prod,20.166719594069335
PL,Cropland_high,166.09955141072174
PL,Cropland_low,487.7957997240148
PL,Cropland_med,686.5187841108051
PL,Pasture_high,133.2056069595682
PL,Pasture_low,131.9859043697541
