NUTS_ID,name,value
AT11,Pasture_high,0.7558102058601595
AT12,Pasture_high,6.173616579011026
AT13,Pasture_high,0.06321067959658465
AT21,Pasture_high,3.8577056570067354
AT22,Pasture_high,3.390077792066633
AT31,Pasture_high,12.959546801075621
AT32,Pasture_high,3.5104908129974737
AT33,Pasture_high,2.6233020993449747
AT34,Pasture_high,1.4601947283609047
BE10,Pasture_high,0.013003919966779512
BE21,Pasture_high,2.707188022065409
BE22,Pasture_high,2.560224126208163
BE23,Pasture_high,6.096570268698924
BE24,Pasture_high,1.3927115226577815
BE25,Pasture_high,8.25063592174722
BE31,Pasture_high,0.13251606573386532
BE32,Pasture_high,1.2587192061921633
BE33,Pasture_high,7.691996652891166
BE34,Pasture_high,4.589777878287885
BE35,Pasture_high,1.3767386100437276
BG01,Pasture_high,2.2456800345061976
BG02,Pasture_high,7.954616311683557
BG03,Pasture_high,8.317369688238019
BG04,Pasture_high,1.7051368742831012
BG05,Pasture_high,4.313660146141304
BG06,Pasture_high,1.0044113431200314
CY00,Pasture_high,NA
CZ01,Pasture_high,0.00904250906796733
CZ02,Pasture_high,0.8676411195910297
CZ03,Pasture_high,5.160274502553953
CZ04,Pasture_high,1.5838049208009481
CZ05,Pasture_high,1.380629360155131
CZ06,Pasture_high,5.8725178280171075
CZ07,Pasture_high,2.548590779275423
CZ08,Pasture_high,0.8161559760698097
DE11,Pasture_high,2.2923793508061268
DE12,Pasture_high,1.6273032901034574
DE13,Pasture_high,2.190004408965802
DE14,Pasture_high,1.926060935078857
DE21,Pasture_high,15.066791578187866
DE22,Pasture_high,1.1930344916270703
DE23,Pasture_high,-0.19415205140389857
DE24,Pasture_high,1.432265561591942
DE25,Pasture_high,0.7439704579530405
DE26,Pasture_high,5.043702963868524
DE27,Pasture_high,1.0606989819397385
DE30,Pasture_high,3.844987698788285e-4
DE40,Pasture_high,0.08560208155440979
DE50,Pasture_high,0.19344634159024093
DE60,Pasture_high,0.2594179276419484
DE71,Pasture_high,1.4849108516748057
DE72,Pasture_high,2.4421015983428207
DE73,Pasture_high,11.337269889449685
DE80,Pasture_high,0.07061570339329937
DE91,Pasture_high,2.5804215723870367
DE92,Pasture_high,6.167472426555316
DE93,Pasture_high,14.14014987672015
